artist_name,specific_genre
lou christie,merseybeat
lou christie,rock-and-roll
the ronettes,brill building pop
the ronettes,classic girl group
the ronettes,motown
the ronettes,rock-and-roll
the ronettes,soul
darlene love,brill building pop
trini lopez,adult standards
trini lopez,brill building pop
trini lopez,bubblegum pop
trini lopez,merseybeat
trini lopez,rock-and-roll
kai winding,jazz brass
kai winding,jazz trombone
kai winding,space age pop
al martino,adult standards
al martino,brill building pop
al martino,easy listening
al martino,lounge
al martino,vocal jazz
manfred mann,album rock
manfred mann,art rock
manfred mann,british blues
manfred mann,classic rock
manfred mann,hard rock
manfred mann,progressive rock
manfred mann,symphonic rock
little anthony & the imperials,adult standards
little anthony & the imperials,brill building pop
little anthony & the imperials,classic soul
little anthony & the imperials,doo-wop
little anthony & the imperials,motown
little anthony & the imperials,rhythm and blues
little anthony & the imperials,rock-and-roll
dionne warwick,adult standards
dionne warwick,brill building pop
dionne warwick,disco
dionne warwick,lounge
dionne warwick,mellow gold
dionne warwick,motown
dionne warwick,quiet storm
dionne warwick,soft rock
dionne warwick,soul
jan & dean,brill building pop
jan & dean,bubblegum pop
jan & dean,doo-wop
jan & dean,folk rock
jan & dean,merseybeat
jan & dean,rock-and-roll
jan & dean,rockabilly
jan & dean,sunshine pop
jan & dean,surf music
the dixie cups,brill building pop
the dixie cups,classic girl group
the dixie cups,motown
the dixie cups,rock-and-roll
the dave clark five,brill building pop
the dave clark five,british invasion
the dave clark five,bubblegum pop
the dave clark five,classic garage rock
the dave clark five,classic rock
the dave clark five,folk rock
the dave clark five,merseybeat
the dave clark five,rock-and-roll
dusty springfield,adult standards
dusty springfield,brill building pop
dusty springfield,british invasion
dusty springfield,classic rock
dusty springfield,folk
dusty springfield,folk rock
dusty springfield,mellow gold
dusty springfield,motown
dusty springfield,soul
dusty springfield,vocal jazz
monica zetterlund,classic swedish pop
monica zetterlund,swedish jazz
monica zetterlund,swedish pop
wayne fontana & the mindbenders,british invasion
wayne fontana & the mindbenders,bubblegum pop
wayne fontana & the mindbenders,merseybeat
wayne fontana & the mindbenders,rock-and-roll
al hirt,adult standards
al hirt,dixieland
al hirt,easy listening
al hirt,jazz trumpet
al hirt,lounge
al hirt,new orleans jazz
al hirt,space age pop
donovan,acoustic pop
donovan,canadian singer-songwriter
donovan,deep new americana
donovan,indie folk
donovan,indiecoustica
donovan,neo mellow
donovan,new americana
donovan,stomp and holler
? & the mysterians,bubblegum pop
? & the mysterians,chicano punk
? & the mysterians,classic garage rock
? & the mysterians,detroit rock
? & the mysterians,freakbeat
? & the mysterians,protopunk
? & the mysterians,psychedelic rock
four tops,adult standards
four tops,brill building pop
four tops,classic soul
four tops,disco
four tops,funk
four tops,mellow gold
four tops,motown
four tops,quiet storm
four tops,soul
sonny & cher,adult standards
sonny & cher,brill building pop
sonny & cher,bubblegum pop
sonny & cher,folk rock
sonny & cher,mellow gold
sonny & cher,merseybeat
sonny & cher,rock-and-roll
cher,dance pop
cher,hollywood
cher,new wave pop
cher,pop
paul simon,classic rock
paul simon,folk
paul simon,folk rock
paul simon,mellow gold
paul simon,permanent wave
paul simon,rock
paul simon,roots rock
paul simon,singer-songwriter
paul simon,soft rock
chad & jeremy,brill building pop
chad & jeremy,british invasion
chad & jeremy,bubblegum pop
chad & jeremy,folk rock
chad & jeremy,merseybeat
the righteous brothers,adult standards
the righteous brothers,brill building pop
the righteous brothers,bubblegum pop
the righteous brothers,folk rock
the righteous brothers,mellow gold
the righteous brothers,motown
the righteous brothers,rock-and-roll
the righteous brothers,rockabilly
the righteous brothers,soul
skeeter davis,brill building pop
skeeter davis,nashville sound
wilson pickett,brill building pop
wilson pickett,classic rock
wilson pickett,classic soul
wilson pickett,funk
wilson pickett,memphis soul
wilson pickett,motown
wilson pickett,rock-and-roll
wilson pickett,soul
wilson pickett,southern soul
gary lewis & the playboys,adult standards
gary lewis & the playboys,brill building pop
gary lewis & the playboys,british invasion
gary lewis & the playboys,bubblegum pop
gary lewis & the playboys,folk rock
gary lewis & the playboys,merseybeat
gary lewis & the playboys,rock-and-roll
the zombies,baroque pop
the zombies,british invasion
the zombies,bubblegum pop
the zombies,classic rock
the zombies,folk rock
the zombies,psychedelic rock
the zombies,rock
